scorer,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000,DLC_resnet50_ViennaJan15shuffle1_34000
bodyparts,Head,Head,Head,Nose,Nose,Nose,Coccyx,Coccyx,Coccyx,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
46,690.0324707,458.8195801,0.999991536,695.03479,469.1266785,0.999799907,583.9848633,334.8170471,0.999977112,578.729126,320.6265869,0.999991894
47,692.3370972,460.8970642,0.999994516,697.9875488,471.5519104,0.997831702,590.9055176,338.9164124,0.999992609,580.9301758,323.0534668,0.999997556
48,695.7253418,463.2237854,0.999979973,702.6141968,473.0323181,0.993268371,594.4799194,341.260376,0.999998271,583.8202515,326.6314697,0.999996305
49,698.0123291,465.4732056,0.999996066,704.0794067,475.0508118,0.704038799,598.8270874,344.7598572,0.999995053,585.2443848,330.3171082,0.999962687
50,700.8477783,467.8001404,0.999998331,707.9321289,480.2015381,0.047522962,602.8521729,349.6496582,0.999985516,585.9282227,334.1140747,0.999973714
51,703.1871338,470.0480347,0.99999547,702.6213379,462.9107361,0.005439699,605.1264648,354.5605164,0.999997139,586.2061157,338.0521545,0.999994397
52,707.7545166,472.6991882,0.999995232,703.2301636,462.7038574,0.003710151,608.427002,355.6122131,0.999998629,586.7352905,344.1284485,0.999689579
53,711.708374,474.0481567,0.999986291,704.2489624,463.3266907,0.002883524,609.7333374,358.2671204,0.999999046,585.8283691,351.9872742,0.992819905
54,715.0683594,474.2102661,0.999973834,718.7883911,478.2466736,0.002515882,611.8686523,361.1949768,0.999998093,592.8945923,354.1837463,0.783906937
55,718.3417358,476.2428894,0.999977291,719.5916138,479.5952454,0.005841166,612.2572021,362.9264832,0.99999702,594.3703613,355.7807007,0.999536872
56,721.703064,477.1534424,0.999990404,718.2253418,479.9563293,0.005141437,614.8834229,364.7527161,0.999987125,599.0646973,356.0584717,0.999814987
57,725.2155151,477.9584045,0.999986768,732.1544189,479.5795593,0.004612625,621.1395264,366.0635071,0.999962211,601.796936,354.284668,0.999680042
58,729.4106445,478.2157898,0.999933541,733.7816162,478.8463135,0.003652632,622.3174438,368.0296021,0.999987125,605.6204834,353.1684265,0.999987483
59,733.0130615,479.6553955,0.999992967,733.3486328,478.2751465,0.00531289,627.1002808,369.6668091,0.999999404,608.6748047,352.7860718,0.999994695
60,735.8846436,480.2016296,0.999989212,733.1845093,477.9827576,0.004317343,627.1281738,370.3630676,0.999999583,610.867981,353.0830688,0.999998808
61,737.723938,481.5592346,0.999996185,732.93927,477.8804626,0.004317045,626.9256592,371.2086792,0.999999523,612.8691406,353.6202698,0.999999046
62,738.9724121,481.619751,0.999997258,748.9331055,480.3017578,0.003518671,626.3665161,371.244812,0.999999166,612.4853516,354.7639771,0.999999046
63,741.0892944,481.4754333,0.999997497,610.8331909,356.2627563,0.003875732,627.0544434,371.6008301,0.99999851,611.4798584,358.0655823,0.999999523
